ID	TD	ploidy	td_sum	file	norm	norm_td
WT	34	1	397669466	fucci-wt-single-f8-r5-c3_S80_.trimmed.mdup.bam	397669466	34
BLM/RECQL5	41	1	418568323	blm-recq5-2-single-f12-r1-c3_S346_.trimmed.mdup.bam	418568323	41
BLM/RECQL5	38	1	400495391	blm_recq5-2-single-c16-w29_.trimmed.mdup.bam	400495391	38
RECQL5	43	1	426564785	recq5-2-single-f10-r5-c4_S277_.trimmed.mdup.bam	426564785	43
WT	36	1	435069590	fucci-wt-single-f7-r6-c7_S42_.trimmed.mdup.bam	435069590	36
WT	37	1	403189310	fucci-wt-single-f11-r2-c6_S111_.trimmed.mdup.bam	403189310	37
WT	31	1	386229267	fucci-wt-single-f12-r2-c1_S155_.trimmed.mdup.bam	386229267	31
BLM/RECQL5	45	1	385911563	blm-recq5-1-single-f14-r3-c4_S459_.trimmed.mdup.bam	385911563	45
BLM/RECQL5	44	1	405980899	blm-recq5-2-single-f12-r4-c4_S368_.trimmed.mdup.bam	405980899	44
WT	40	1	411600210	fucci-wt-single-f11-r6-c5_S138_.trimmed.mdup.bam	411600210	40
WT	37	1	399445940	fucci-wt-single-f12-r1-c4_S151_.trimmed.mdup.bam	399445940	37
BLM/RECQL5	32	1	404482782	blm-recq5-1-single-f14-r4-c7_S469_.trimmed.mdup.bam	404482782	32
WT	34	1	369864122	fucci-wt-single-f11-r1-c2_S100_.trimmed.mdup.bam	369864122	34
WT	36	1	403547218	fucci-wt-single-f11-r3-c7_S119_.trimmed.mdup.bam	403547218	36
BLM/RECQL5	21	1	361640526	blm-recq5-1-single-f15-r5-c2_S520_.trimmed.mdup.bam	361640526	21
RECQL5	41	1	394319534	recq5-2-single-f11-r3-c6_S314_.trimmed.mdup.bam	394319534	41
BLM/RECQL5	35	1	402667693	blm-recq5-1-single-f15-r1-c3_S493_.trimmed.mdup.bam	402667693	35
BLM/RECQL5	24	1	390036776	blm-recq5-2-single-f16-r2-c7_S553_.trimmed.mdup.bam	390036776	24
BLM/RECQL5	37	1	402298112	blm-recq5-2-single-f16-r4-c1_S561_.trimmed.mdup.bam	402298112	37
WT	36	1	408534469	fucci-wt-single-f12-r6-c2_S184_.trimmed.mdup.bam	408534469	36
BLM/RECQL5	20	1	348867191	blm_recq5-2-single-c16-w18_.trimmed.mdup.bam	348867191	20
WT	26	1	387445277	fucci-wt-single-f7-r3-c4_S18_.trimmed.mdup.bam	387445277	26
WT	36	1	384479204	fucci-wt-single-f8-r7-c4_S95_.trimmed.mdup.bam	384479204	36
BLM/RECQL5	26	1	378910870	blm-recq5-2-single-f16-r7-c1_S582_.trimmed.mdup.bam	378910870	26
WT	28	1	352833767	fucci-wt-single-f8-r4-c4_S74_.trimmed.mdup.bam	352833767	28
WT	35	1	365554836	fucci-wt-single-f12-r1-c1_S148_.trimmed.mdup.bam	365554836	35
WT	23	1	384786466	fucci-wt-single-f8-r2-c5_S61_.trimmed.mdup.bam	384786466	23
RECQL5	32	1	405369350	recq5-2-single-f11-r6-c3_S332_.trimmed.mdup.bam	405369350	32
WT	36	1	393338829	fucci-wt-single-f11-r4-c1_S120_.trimmed.mdup.bam	393338829	36
WT	35	1	408845170	fucci-wt-single-f7-r6-c1_S36_.trimmed.mdup.bam	408845170	35
RECQL5	44	1	427555751	recq5-2-single-f11-r4-c5_S320_.trimmed.mdup.bam	427555751	44
BLM/RECQL5	41	1	418174144	blm-recq5-2-single-f12-r2-c3_S353_.trimmed.mdup.bam	418174144	41
RECQL5	45	1	420342381	recq5-2-single-f11-r4-c3_S318_.trimmed.mdup.bam	420342381	45
RECQL5	30	1	378310319	recq5-2-single-f11-r2-c4_S305_.trimmed.mdup.bam	378310319	30
RECQL5	34	1	374348441	recq5-2-single-f11-r5-c6_S328_.trimmed.mdup.bam	374348441	34
BLM/RECQL5	32	1	396821082	blm-recq5-2-single-f16-r1-c2_S541_.trimmed.mdup.bam	396821082	32
RECQL5	23	1	367234928	recq5-2-single-f11-r2-c1_S302_.trimmed.mdup.bam	367234928	23
WT	16	1	348299262	zeid_WT_UV300s_hoechst3_cluster13_well24_S416_.trimmed.mdup.bam	348299262	16
WT	17	1	362589726	zeid_WT_UV300s_hoechst3_cluster13_well37_S429_.trimmed.mdup.bam	362589726	17
WT	23	1	332209212	zeid_WT_UV300s_hoechst3_cluster13_well18_S410_.trimmed.mdup.bam	332209212	23
WT	32	1	357617607	zeid_WT_UV300s_hoechst3_cluster13_well34_S426_.trimmed.mdup.bam	357617607	32
BLM/RECQL5	29	1	405837733	blm-recq5-2-single-f16-r3-c1_S554_.trimmed.mdup.bam	405837733	29
BLM/RECQL5	39	1	384165807	blm-recq5-2-single-f16-r4-c6_S566_.trimmed.mdup.bam	384165807	39
BLM/RECQL5	25	1	380500155	blm_recq5-2-single-c16-w45_.trimmed.mdup.bam	380500155	25
BLM	32	1	370515845	blm-1-single-c10-w15_.trimmed.mdup.bam	370515845	32
BLM/RECQL5	23	1	353960853	blm-recq5-2-single-c12-w39-3d6_S482_.trimmed.mdup.bam	353960853	23
BLM/RECQL5	40	1	384486976	blm_recq5-2-single-c16-w42_.trimmed.mdup.bam	384486976	40
WT	27	1	378584978	fucci-wt-single-f7-r4-c5_S26_.trimmed.mdup.bam	378584978	27
BLM/RECQL5	28	1	396873237	blm_recq5-2-single-c15-w28_.trimmed.mdup.bam	396873237	28
BLM/RECQL5	23	1	398318004	blm-recq5-2-single-f16-r3-c5_S558_.trimmed.mdup.bam	398318004	23
WT	43	1	405301709	fucci-wt-single-f11-r3-c5_S117_.trimmed.mdup.bam	405301709	43
WT	43	1	396001736	fucci-wt-single-f7-r2-c6_S13_.trimmed.mdup.bam	396001736	43
WT	32	1	395573071	fucci-wt-single-f8-r3-c6_S69_.trimmed.mdup.bam	395573071	32
WT	37	1	375913753	fucci-wt-single-f7-r1-c4_S4_.trimmed.mdup.bam	375913753	37
WT	32	1	376871075	fucci-wt-single-f11-r7-c6_S146_.trimmed.mdup.bam	376871075	32
RECQL5	35	1	392483684	recq5-2-single-f11-r5-c3_S325_.trimmed.mdup.bam	392483684	35
BLM/RECQL5	37	1	396092646	blm-recq5-2-single-f12-r3-c2_S359_.trimmed.mdup.bam	396092646	37
WT	26	1	393373388	fucci-wt-single-f11-r5-c7_S133_.trimmed.mdup.bam	393373388	26
WT	29	1	348266253	fucci-wt-single-f7-r2-c4_S11_.trimmed.mdup.bam	348266253	29
WT	36	1	369656507	fucci-wt-single-f7-r3-c5_S19_.trimmed.mdup.bam	369656507	36
WT	39	1	395948896	fucci-wt-single-f7-r7-c4_S46_.trimmed.mdup.bam	395948896	39
WT	40	1	407072928	fucci-wt-single-f11-r5-c3_S129_.trimmed.mdup.bam	407072928	40
RECQL5	50	1	415678692	recq5-2-single-f10-r5-c3_S276_.trimmed.mdup.bam	415678692	50
BLM/RECQL5	44	1	397613877	blm-recq5-1-single-f14-r6-c1_S477_.trimmed.mdup.bam	397613877	44
WT	44	1	407462531	fucci-wt-single-f7-r6-c3_S38_.trimmed.mdup.bam	407462531	44
BLM/RECQL5	15	1	331598647	blm_recq5-2-single-c15-w41_.trimmed.mdup.bam	331598647	15
BLM/RECQL5	32	1	352215350	blm_recq5-2-single-c16-w21_.trimmed.mdup.bam	352215350	32
BLM/RECQL5	25	1	405013878	blm_recq5-2-single-c16-w40_.trimmed.mdup.bam	405013878	25
BLM/RECQL5	32	1	385681938	blm_recq5-2-single-c16-w34_.trimmed.mdup.bam	385681938	32
BLM/RECQL5	23	1	400573139	blm_recq5-2-single-c16-w33_.trimmed.mdup.bam	400573139	23
BLM/RECQL5	41	1	428320695	blm-recq5-1-single-c11-w11-3d6_S405_.trimmed.mdup.bam	428320695	41
WT	37	1	403842333	fucci-wt-single-f11-r4-c5_S124_.trimmed.mdup.bam	403842333	37
BLM/RECQL5	36	1	408830451	blm_recq5-2-single-c16-w26_.trimmed.mdup.bam	408830451	36
WT	45	1	416586175	fucci-wt-single-f8-r2-c4_S60_.trimmed.mdup.bam	416586175	45
WT	34	1	442065059	wt-fucci-single-c15-w45-3d6_S611_.trimmed.mdup.bam	442065059	34
BLM/RECQL5	32	1	436158810	blm_recq5-2-single-c16-w28_.trimmed.mdup.bam	436158810	32
RECQL5	20	1	385176129	recq5-2-single-c11-w9_.trimmed.mdup.bam	385176129	20
BLM/RECQL5	40	1	430644474	blm-recq5-2-single-f16-r1-c4_S543_.trimmed.mdup.bam	430644474	40
BLM/RECQL5	50	1	412668626	blm-recq5-2-single-f12-r1-c1_S344_.trimmed.mdup.bam	412668626	50
RECQL5	87	1	409212597	recq5-2-single-f11-r3-c2_S310_.trimmed.mdup.bam	409212597	87
BLM/RECQL5	45	1	429247863	blm-recq5-1-single-c7-w14-3d6_S212_.trimmed.mdup.bam	429247863	45
BLM/RECQL5	30	1	395279718	blm-recq5-1-single-f15-r2-c2_S499_.trimmed.mdup.bam	395279718	30
BLM/RECQL5	51	1	371828156	blm-recq5-1-single-f14-r4-c4_S466_.trimmed.mdup.bam	371828156	51
BLM/RECQL5	22	1	369614690	blm_recq5-2-single-c16-w19_.trimmed.mdup.bam	369614690	22
BLM/RECQL5	27	1	390013109	blm_recq5-2-single-c16-w6_.trimmed.mdup.bam	390013109	27
BLM/RECQL5	32	1	377281184	blm_recq5-2-single-c16-w38_.trimmed.mdup.bam	377281184	32
BLM/RECQL5	40	1	455324147	blm-recq5-1-single-f15-r6-c4_S529_.trimmed.mdup.bam	455324147	40
BLM/RECQL5	51	1	397890882	blm-recq5-1-single-f13-r1-c2_S394_.trimmed.mdup.bam	397890882	51
BLM/RECQL5	45	1	423015143	blm_recq5-2-single-c15-w8_.trimmed.mdup.bam	423015143	45
BLM/RECQL5	29	1	394815896	blm-recq5-1-single-c3-w19-3d6_S60_.trimmed.mdup.bam	394815896	29
BLM/RECQL5	49	1	394165642	blm-recq5-1-single-c11-w33-3d6_S427_.trimmed.mdup.bam	394165642	49
BLM/RECQL5	25	1	373907739	blm_recq5-2-single-c16-w5_.trimmed.mdup.bam	373907739	25
BLM/RECQL5	27	1	403214132	blm_recq5-2-single-c15-w17_.trimmed.mdup.bam	403214132	27
BLM/RECQL5	34	1	377030414	blm-recq5-2-single-f16-r6-c5_S579_.trimmed.mdup.bam	377030414	34
WT	36	1	349844867	fucci-wt-single-f11-r2-c3_S108_.trimmed.mdup.bam	349844867	36
WT	40	1	369645989	fucci-wt-single-f11-r6-c3_S136_.trimmed.mdup.bam	369645989	40
BLM/RECQL5	28	1	406677463	blm-recq5-2-single-f16-r2-c4_S550_.trimmed.mdup.bam	406677463	28
BLM/RECQL5	43	1	394477993	blm_recq5-1-single-c14-w38_.trimmed.mdup.bam	394477993	43
BLM/RECQL5	44	1	418069813	blm-recq5-1-single-c3-w11-3d6_S56_.trimmed.mdup.bam	418069813	44
BLM/RECQL5	76	1	459453451	blm-recq5-2-single-c12-w24-3d6_S467_.trimmed.mdup.bam	459453451	76
BLM/RECQL5	86	1	475555198	blm-recq5-1-single-f13-r7-c1_S435_.trimmed.mdup.bam	475555198	86
BLM/RECQL5	58	1	368637154	blm-recq5-1-single-f15-r6-c1_S526_.trimmed.mdup.bam	368637154	58
BLM/RECQL5	42	1	472503899	blm-recq5-1-single-f15-r6-c3_S528_.trimmed.mdup.bam	472503899	42
RECQL5	105	1	426896102	recq5-2-single-f10-r7-c6_S293_.trimmed.mdup.bam	426896102	105
BLM/RECQL5	72	1	382115577	blm-recq5-2-single-f16-r4-c4_S564_.trimmed.mdup.bam	382115577	72
BLM/RECQL5	42	1	358129915	blm-recq5-1-single-c11-w18-3d6_S412_.trimmed.mdup.bam	358129915	42
BLM/RECQL5	37	1	341075537	blm_recq5-2-single-c15-w42_.trimmed.mdup.bam	341075537	37
RECQL5	57	1	307716073	recq5-2-single-f10-r2-c3_S255_.trimmed.mdup.bam	307716073	57
BLM/RECQL5	83	1	340096952	blm-recq5-1-single-f15-r5-c4_S522_.trimmed.mdup.bam	340096952	83
RECQL5	60	1	346218738	recq5-2-single-f11-r5-c2_S324_.trimmed.mdup.bam	346218738	60
BLM/RECQL5	56	1	317594537	blm-recq5-1-single-f14-r4-c6_S468_.trimmed.mdup.bam	317594537	56
BLM/RECQL5	44	1	311957376	blm-recq5-1-single-f14-r5-c6_S475_.trimmed.mdup.bam	311957376	44
BLM/RECQL5	57	1	349890601	blm-recq5-2-single-f16-r1-c6_S545_.trimmed.mdup.bam	349890601	57
WT	27	1	351991033	fucci-wt-single-f11-r2-c7_S112_.trimmed.mdup.bam	351991033	27
WT	24	1	353576849	fucci-wt-single-f11-r6-c7_S140_.trimmed.mdup.bam	353576849	24
BLM/RECQL5	186	1	505683423	blm-recq5-1-single-f13-r1-c1_S393_.trimmed.mdup.bam	505683423	186
BLM	28	1	285934639	blm-1-single-f5-r3-c1_S15_.trimmed.mdup.bam	285934639	28
BLM	91	1	317128035	blm-1-single-f5-r2-c1_S8_.trimmed.mdup.bam	317128035	91
BLM	90	1	303515865	blm-1-single-f7-r7-c1_S141_.trimmed.mdup.bam	303515865	90
BLM/RECQL5	35	1	379044266	blm-recq5-1-single-f14-r3-c7_S462_.trimmed.mdup.bam	379044266	35
BLM/RECQL5	71	1	337881583	blm-recq5-1-single-f14-r7-c6_S489_.trimmed.mdup.bam	337881583	71
BLM/RECQL5	39	1	320606933	blm-recq5-2-single-f16-r2-c1_S547_.trimmed.mdup.bam	320606933	39
BLM/RECQL5	70	1	461515696	blm-recq5-1-single-f14-r7-c1_S484_.trimmed.mdup.bam	461515696	70
BLM/RECQL5	62	1	336402802	blm-recq5-1-single-f15-r5-c5_S523_.trimmed.mdup.bam	336402802	62
BLM/RECQL5	92	1	291108750	blm-recq5-1-single-f15-r6-c2_S527_.trimmed.mdup.bam	291108750	92
BLM	35	1	297675118	blm-1-single-c9-w33_.trimmed.mdup.bam	297675118	35
BLM	27	1	238955915	blm-1-single-c9-w44_.trimmed.mdup.bam	238955915	27
BLM	81	1	320491492	blm-1-single-f5-r4-c6_S27_.trimmed.mdup.bam	320491492	81
RECQL5	27	1	353105277	recq5-2-single-c6-w12-3d6_S161_.trimmed.mdup.bam	353105277	27
BLM	22	1	330068505	blm-1-single-c9-w40_.trimmed.mdup.bam	330068505	22
BLM	31	1	374181060	blm-1-single-c10-w37_.trimmed.mdup.bam	374181060	31
BLM/RECQL5	43	1	394187805	blm-recq5-1-single-f14-r1-c1_S442_.trimmed.mdup.bam	394187805	43
BLM/RECQL5	52	1	421579922	blm-recq5-1-single-f14-r6-c7_S483_.trimmed.mdup.bam	421579922	52
BLM	30	1	278086908	blm-1-single-f5-r5-c2_S30_.trimmed.mdup.bam	278086908	30
RECQL5	79	1	421173798	recq5-2-single-c6-w6-3d6_S155_.trimmed.mdup.bam	421173798	79
BLM	54	1	315356164	blm-1-single-f7-r5-c5_S131_.trimmed.mdup.bam	315356164	54
BLM	22	1	405171293	blm-1-single-f7-r6-c2_S135_.trimmed.mdup.bam	405171293	22
BLM	69	1	356450182	blm-1-single-f7-r4-c4_S123_.trimmed.mdup.bam	356450182	69
BLM	34	1	314614027	blm-1-single-c10-w38_.trimmed.mdup.bam	314614027	34
BLM	51	1	380052350	blm-1-single-c10-w30_.trimmed.mdup.bam	380052350	51
RECQL5	35	1	350031508	recq5-2-single-c12-w9_.trimmed.mdup.bam	350031508	35
RECQL5	39	1	338918585	recq5-2-single-c10-w45-3d6_S390_.trimmed.mdup.bam	338918585	39
RECQL5	27	1	318027197	recq5-2-single-c11-w37_.trimmed.mdup.bam	318027197	27
BLM	69	1	333961204	blm-1-single-f6-r1-c1_S50_.trimmed.mdup.bam	333961204	69
BLM/RECQL5	24	1	283296653	blm_recq5-2-single-c15-w15_.trimmed.mdup.bam	283296653	24
BLM	47	1	283906539	blm-1-single-c9-w15_.trimmed.mdup.bam	283906539	47
BLM	34	1	375794208	blm-1-single-c10-w34_.trimmed.mdup.bam	375794208	34
BLM	32	1	415164119	blm-1-single-c10-w41_.trimmed.mdup.bam	415164119	32
BLM/RECQL5	50	1	379591169	blm-recq5-1-single-f15-r7-c6_S538_.trimmed.mdup.bam	379591169	50
BLM/RECQL5	49	1	417401602	blm-recq5-1-single-f15-r7-c1_S533_.trimmed.mdup.bam	417401602	49
BLM/RECQL5	30	1	365437165	blm_recq5-2-single-c15-w32_.trimmed.mdup.bam	365437165	30
BLM/RECQL5	31	1	347241974	blm_recq5-2-single-c16-w7_.trimmed.mdup.bam	347241974	31
BLM	24	1	296234162	blm-1-single-c9-w43-3d6_S339_.trimmed.mdup.bam	296234162	24
BLM	33	1	359552796	blm-1-single-c10-w11_.trimmed.mdup.bam	359552796	33
BLM	48	1	302605448	blm-1-single-f5-r6-c5_S40_.trimmed.mdup.bam	302605448	48
BLM	60	1	351866975	blm-1-single-f6-r6-c4_S88_.trimmed.mdup.bam	351866975	60
BLM	104	1	324433066	blm-1-single-f5-r1-c1_S1_.trimmed.mdup.bam	324433066	104
BLM	19	1	297680194	blm-1-single-f7-r2-c6_S111_.trimmed.mdup.bam	297680194	19
BLM	42	1	362098049	blm-1-single-f5-r1-c3_S3_.trimmed.mdup.bam	362098049	42
BLM	49	1	352541742	blm-1-single-f7-r6-c4_S137_.trimmed.mdup.bam	352541742	49
BLM	41	1	392042122	blm-1-single-f7-r5-c2_S128_.trimmed.mdup.bam	392042122	41
BLM	46	1	397768240	blm-1-single-f5-r1-c2_S2_.trimmed.mdup.bam	397768240	46
BLM	39	1	329490683	blm-1-single-f7-r6-c3_S136_.trimmed.mdup.bam	329490683	39
BLM	42	1	340891010	blm-1-single-c9-w31_.trimmed.mdup.bam	340891010	42
BLM	40	1	334942280	blm-1-single-c10-w19_.trimmed.mdup.bam	334942280	40
BLM	45	1	361593743	blm-1-single-f7-r4-c3_S122_.trimmed.mdup.bam	361593743	45
BLM	26	1	290265391	blm-1-single-f5-r4-c7_S28_.trimmed.mdup.bam	290265391	26
BLM	46	1	367181761	blm-1-single-f7-r1-c1_S99_.trimmed.mdup.bam	367181761	46
BLM	132	1	319192121	blm-1-single-c10-w31_.trimmed.mdup.bam	319192121	132
BLM/RECQL5	57	1	288122128	blm-recq5-1-single-f15-r7-c5_S537_.trimmed.mdup.bam	288122128	57
BLM/RECQL5	49	1	391526898	blm-recq5-1-single-f15-r4-c1_S512_.trimmed.mdup.bam	391526898	49
BLM/RECQL5	50	1	333518435	blm_recq5-2-single-c16-w15_.trimmed.mdup.bam	333518435	50
BLM/RECQL5	122	1	318114447	blm-recq5-1-single-f14-r6-c3_S479_.trimmed.mdup.bam	318114447	122
BLM/RECQL5	107	1	266298048	blm-recq5-1-single-f14-r5-c3_S472_.trimmed.mdup.bam	266298048	107
BLM/RECQL5	99	1	340494544	blm_recq5-2-single-c15-w24_.trimmed.mdup.bam	340494544	99
BLM/RECQL5	62	1	268107866	blm_recq5-2-single-c15-w27_.trimmed.mdup.bam	268107866	62
BLM/RECQL5	95	1	282389574	blm-recq5-1-single-f15-r4-c5_S516_.trimmed.mdup.bam	282389574	95
BLM/RECQL5	84	1	255705634	blm-recq5-1-single-f15-r4-c6_S517_.trimmed.mdup.bam	255705634	84
BLM/RECQL5	74	1	333518871	blm-recq5-1-single-f14-r6-c6_S482_.trimmed.mdup.bam	333518871	74
BLM/RECQL5	88	1	251426175	blm-recq5-2-single-f12-r4-c2_S366_.trimmed.mdup.bam	251426175	88
BLM/RECQL5	46	1	321376168	blm-recq5-1-single-f14-r6-c4_S480_.trimmed.mdup.bam	321376168	46
BLM/RECQL5	68	1	355036220	blm-recq5-1-single-f14-r6-c5_S481_.trimmed.mdup.bam	355036220	68
BLM/RECQL5	75	1	350526170	blm-recq5-1-single-f14-r1-c7_S448_.trimmed.mdup.bam	350526170	75
BLM/RECQL5	86	1	275326210	blm-recq5-1-single-f15-r3-c2_S506_.trimmed.mdup.bam	275326210	86
BLM	90	1	126964490	blm-1-single-f6-r2-c1_S57_.trimmed.mdup.bam	126964490	90
BLM/RECQL5	66	1	185601088	blm-recq5-2-single-f16-r7-c5_S586_.trimmed.mdup.bam	185601088	66
BLM/RECQL5	71	1	212822925	blm-recq5-2-single-f12-r1-c6_S349_.trimmed.mdup.bam	212822925	71
BLM/RECQL5	39	1	210283838	blm-recq5-2-single-f16-r3-c2_S555_.trimmed.mdup.bam	210283838	39
BLM/RECQL5	46	1	281137034	blm-recq5-2-single-f16-r1-c7_S546_.trimmed.mdup.bam	281137034	46
BLM/RECQL5	19	1	184787134	blm-recq5-2-single-f16-r1-c3_S542_.trimmed.mdup.bam	184787134	19
BLM	24	1	287523963	blm-1-single-c9-w42_.trimmed.mdup.bam	287523963	24
BLM/RECQL5	19	1	247025868	blm-recq5-2-single-f16-r4-c3_S563_.trimmed.mdup.bam	247025868	19
BLM/RECQL5	40	1	226709263	blm-recq5-2-single-f16-r6-c3_S577_.trimmed.mdup.bam	226709263	40
BLM/RECQL5	46	1	288924226	blm-recq5-2-single-f16-r7-c4_S585_.trimmed.mdup.bam	288924226	46
BLM	52	1	245756508	blm-1-single-f7-r5-c7_S133_.trimmed.mdup.bam	245756508	52
BLM/RECQL5	110	1	246310933	blm-recq5-1-single-f14-r7-c2_S485_.trimmed.mdup.bam	246310933	110
BLM/RECQL5	56	1	209525133	blm-recq5-1-single-f14-r4-c5_S467_.trimmed.mdup.bam	209525133	56
BLM/RECQL5	90	1	228670578	blm-recq5-1-single-f14-r1-c2_S443_.trimmed.mdup.bam	228670578	90
